text,rating,length,clean_text,word_count
oke sangat membantu,5,19,oke sangat membantu,3
"saya menyaygkan keputusan sepihak terkait penghapusan voucher promo pada akun saya. brdsrkn konfirmasi dari cs, tindakan pemblokiran ini dilakukan secara sengaja. perlu dicatat bhw saya tdk perna melakukan pelanggaran apapun thd syarat&ketentuan yg berlaku. tindakan pencabutan hak konsumen tanpa dasar hukum dan transparansi yg jelas spt ini berpotensi melanggar hak2 konsumen yang dilindungi undang-undang. atas dasar apa dan intervensi regulasi mana yg memberikan wewenang kpd pihak anda utk melak",1,500,saya menyaygkan keputusan sepihak terkait penghapusan voucher promo pada akun saya brdsrkn konfirmasi dari cs tindakan pemblokiran ini dilakukan secara sengaja perlu dicatat bhw saya tdk perna melakukan pelanggaran apapun thd syaratketentuan yg berlaku tindakan pencabutan hak konsumen tanpa dasar hukum dan transparansi yg jelas spt ini berpotensi melanggar hak konsumen yang dilindungi undangundang atas dasar apa dan intervensi regulasi mana yg memberikan wewenang kpd pihak anda utk melak,69
praktis di saat kritis,5,22,praktis di saat kritis,4
"driver sangat berhati2 dalam membawa penumpang.tidak ugal2 an.jadi,saya ngerasa aman klo pakai goride.terima kasih",5,114,driver sangat berhati dalam membawa penumpangtidak ugal anjadisaya ngerasa aman klo pakai gorideterima kasih,14
sangat membantu dlm perjalanan,5,30,sangat membantu dlm perjalanan,4
bintang 1 aja dulu ruwet kek co nya gk jelas,1,44,bintang aja dulu ruwet kek co nya gk jelas,9
"bagaimana ya dengan aplikasi ini, apakah tidak tahu kebijakan playstore tentang notifikasi aplikasi, banyak sekali notifikasi yang tidak berguna muncul bahkan membuat ponsel menjadi lemot. kurangi notifikasi tidak jelas/berguna serta perbaiki layanan untuk mencari drivernya karena sering di cancel oleh driver",1,310,bagaimana ya dengan aplikasi ini apakah tidak tahu kebijakan playstore tentang notifikasi aplikasi banyak sekali notifikasi yang tidak berguna muncul bahkan membuat ponsel menjadi lemot kurangi notifikasi tidak jelasberguna serta perbaiki layanan untuk mencari drivernya karena sering di cancel oleh driver,41
"gajelas banget, posisi dirumah tapi di maps lokasi saat ini malah 15km dari lokasi saya berdiri, jadinya gak bisa ubah lokasi penjemputan",1,137,gajelas banget posisi dirumah tapi di maps lokasi saat ini malah km dari lokasi saya berdiri jadinya gak bisa ubah lokasi penjemputan,22
"semuanya sebenarnya nyaman aja, maaf kalo diluar topik, tapi untuk sistem paylater. mau menanyakan apakah jika sudah tenggat waktu ada spam telepon? kalo ada saya sangat menyayangkan sekali di era sekarang serba waspada telepon tidak dikenal, itu sangat mengganggu. kedepannya mohon berikan info/invoice melalui yang lain seperti wa yang jelas, dsb. jujur jika benar, spam telepon itu sangat mengganggu.",4,403,semuanya sebenarnya nyaman aja maaf kalo diluar topik tapi untuk sistem paylater mau menanyakan apakah jika sudah tenggat waktu ada spam telepon kalo ada saya sangat menyayangkan sekali di era sekarang serba waspada telepon tidak dikenal itu sangat mengganggu kedepannya mohon berikan infoinvoice melalui yang lain seperti wa yang jelas dsb jujur jika benar spam telepon itu sangat mengganggu,59
gojek layanan nya lengkap ⭐⭐⭐⭐⭐,5,31,gojek layanan nya lengkap,4
mau ngisi nomor telpon buat gosend aj ribet ajg segala geter geter,1,66,mau ngisi nomor telpon buat gosend aj ribet ajg segala geter geter,12
aku bolak balik di bekukan padahal ga ngapa ngapain jadi susah untuk naik ojol dll,1,82,aku bolak balik di bekukan padahal ga ngapa ngapain jadi susah untuk naik ojol dll,15
walaupun sering eror tapi pelayanan nyaa baguss banget!!! selalu jadi langganan gojek!!,5,87,walaupun sering eror tapi pelayanan nyaa baguss banget selalu jadi langganan gojek,12
promo ae gedhe. gawe driver e 0 g dipikir. isi ne untung tok coeg,1,65,promo ae gedhe gawe driver e g dipikir isi ne untung tok coeg,13
"loginnya terlalu berbelit"" masa 2x otp, pake nomor masih ok sedangkan yang pake email (ymail) gk dapat"" otp...",1,110,loginnya terlalu berbelit masa x otp pake nomor masih ok sedangkan yang pake email ymail gk dapat otp,18
gojek terbaik pokonya,5,21,gojek terbaik pokonya,3
bagus harganya selalu 9k tapi kalo naik gojek mobil usahain agak murah dikit ya min,5,83,bagus harganya selalu k tapi kalo naik gojek mobil usahain agak murah dikit ya min,15
"iklan paling caper, wong saya udah download apk nya dari lama, diklik silang gabisa"" malah bikin ngelag hp saya, maunya apasih? dah di download juga, gak saya gunain karna pertama kali nyoba pesen gojek pake promo, ga dapet"" drivernyaaaaa lamaaaa, bolak balik buka gofood juga promonya ga ada"" padahal pengguna baru lho, hihhh sebel saya",1,337,iklan paling caper wong saya udah download apk nya dari lama diklik silang gabisa malah bikin ngelag hp saya maunya apasih dah di download juga gak saya gunain karna pertama kali nyoba pesen gojek pake promo ga dapet drivernyaaaaa lamaaaa bolak balik buka gofood juga promonya ga ada padahal pengguna baru lho hihhh sebel saya,55
banyak driver yang sangat ramah saya suka,5,41,banyak driver yang sangat ramah saya suka,7
perbanyak lagi diskoun-nya yaa,5,30,perbanyak lagi diskounnya yaa,4
apl ini sangat bagus tidak mengecewakan,5,39,apl ini sangat bagus tidak mengecewakan,6
mantap gasssspol. ngak kayak yg lain. ini driver top. agak laen dari yang lain. layanannya didasari dengan hati hingga penuh dedikasi. terima kasih mas wintoro. sukses. bertambah rejeki dan sehat selalu,5,202,mantap gasssspol ngak kayak yg lain ini driver top agak laen dari yang lain layanannya didasari dengan hati hingga penuh dedikasi terima kasih mas wintoro sukses bertambah rejeki dan sehat selalu,31
baikk aku sukaa,5,15,baikk aku sukaa,3
sejauh ini pelayanan gojek & gocar sangat membantu dan memberikan pelayanan terbaik untuk masyarakat yang mau kemana² gak perlu cari ojek atau taksi yang jauh dari rumah sekarang tinggal buka aplikasi gojek langsung pesan apa yang kita pilih,5,241,sejauh ini pelayanan gojek gocar sangat membantu dan memberikan pelayanan terbaik untuk masyarakat yang mau kemana gak perlu cari ojek atau taksi yang jauh dari rumah sekarang tinggal buka aplikasi gojek langsung pesan apa yang kita pilih,37
good job awesome,5,16,good job awesome,3
saya sangat bersyukur dengan adanya aplikasi gojek semua simple keren semangat beraktivitas mantap,5,98,saya sangat bersyukur dengan adanya aplikasi gojek semua simple keren semangat beraktivitas mantap,13
"saya sangat kecewa dengan cara gojek menagih, saya telat 3 hari, dan gojek sudah menyuruh debt collector untuk meneror saya. akun gopay later saya pun sudah lama di nonaktifkan, padahal selama ini saya bayar tepat waktu.",1,220,saya sangat kecewa dengan cara gojek menagih saya telat hari dan gojek sudah menyuruh debt collector untuk meneror saya akun gopay later saya pun sudah lama di nonaktifkan padahal selama ini saya bayar tepat waktu,35
banyak banget dendanya. ga da pemberitahuan sblm jatuh tempo. nnt sdh lwt jatuh temponya (kena bunga) baru diinfokan. niat mau cari promo (dpt diskon bayar via paylater) yg diskonnya cmn 20rb tp saat lupa bayar bungannya 50rb 🤭 nyesal kejar promo pdhl saldo cukup aja. apes betul.,1,280,banyak banget dendanya ga da pemberitahuan sblm jatuh tempo nnt sdh lwt jatuh temponya kena bunga baru diinfokan niat mau cari promo dpt diskon bayar via paylater yg diskonnya cmn rb tp saat lupa bayar bungannya rb nyesal kejar promo pdhl saldo cukup aja apes betul,46
