text,rating,length,clean_text,word_count,normalized_text,tokens,final_text
oke sangat membantu,5,19,oke sangat membantu,3,baik sangat membantu,"['baik', 'sangat', 'bantu']",baik sangat bantu
"saya menyaygkan keputusan sepihak terkait penghapusan voucher promo pada akun saya. brdsrkn konfirmasi dari cs, tindakan pemblokiran ini dilakukan secara sengaja. perlu dicatat bhw saya tdk perna melakukan pelanggaran apapun thd syarat&ketentuan yg berlaku. tindakan pencabutan hak konsumen tanpa dasar hukum dan transparansi yg jelas spt ini berpotensi melanggar hak2 konsumen yang dilindungi undang-undang. atas dasar apa dan intervensi regulasi mana yg memberikan wewenang kpd pihak anda utk melak",1,500,saya menyaygkan keputusan sepihak terkait penghapusan voucher promo pada akun saya brdsrkn konfirmasi dari cs tindakan pemblokiran ini dilakukan secara sengaja perlu dicatat bhw saya tdk perna melakukan pelanggaran apapun thd syaratketentuan yg berlaku tindakan pencabutan hak konsumen tanpa dasar hukum dan transparansi yg jelas spt ini berpotensi melanggar hak konsumen yang dilindungi undangundang atas dasar apa dan intervensi regulasi mana yg memberikan wewenang kpd pihak anda utk melak,69,saya menyaygkan keputusan sepihak terkait penghapusan voucher promo pada akun saya brdsrkn konfirmasi dari cs tindakan pemblokiran ini dilakukan secara sengaja perlu dicatat bhw saya tidak perna melakukan pelanggaran apapun thd syaratketentuan yg berlaku tindakan pencabutan hak konsumen tanpa dasar hukum dan transparansi yg jelas spt ini berpotensi melanggar hak konsumen yang dilindungi undangundang atas dasar apa dan intervensi regulasi mana yg memberikan wewenang kpd pihak anda utk melak,"['menyaygkan', 'putus', 'pihak', 'kait', 'hapus', 'voucher', 'promo', 'akun', 'brdsrkn', 'konfirmasi', 'cs', 'tindak', 'blokir', 'laku', 'sengaja', 'perlu', 'catat', 'bhw', 'perna', 'laku', 'langgar', 'apa', 'thd', 'syaratketentuan', 'yg', 'laku', 'tindak', 'cabut', 'hak', 'konsumen', 'dasar', 'hukum', 'transparansi', 'yg', 'jelas', 'spt', 'potensi', 'langgar', 'hak', 'konsumen', 'lindung', 'undangundang', 'atas', 'dasar', 'apa', 'intervensi', 'regulasi', 'mana', 'yg', 'beri', 'wewenang', 'kpd', 'pihak', 'utk', 'lak']",menyaygkan putus pihak kait hapus voucher promo akun brdsrkn konfirmasi cs tindak blokir laku sengaja perlu catat bhw perna laku langgar apa thd syaratketentuan yg laku tindak cabut hak konsumen dasar hukum transparansi yg jelas spt potensi langgar hak konsumen lindung undangundang atas dasar apa intervensi regulasi mana yg beri wewenang kpd pihak utk lak
praktis di saat kritis,5,22,praktis di saat kritis,4,praktis di saat kritis,"['praktis', 'kritis']",praktis kritis
"driver sangat berhati2 dalam membawa penumpang.tidak ugal2 an.jadi,saya ngerasa aman klo pakai goride.terima kasih",5,114,driver sangat berhati dalam membawa penumpangtidak ugal anjadisaya ngerasa aman klo pakai gorideterima kasih,14,driver sangat berhati dalam membawa penumpangtidak ugal anjadisaya ngerasa aman klo pakai gorideterima kasih,"['driver', 'sangat', 'hati', 'bawa', 'penumpangtidak', 'ugal', 'anjadisaya', 'ngerasa', 'aman', 'klo', 'pakai', 'gorideterima', 'kasih']",driver sangat hati bawa penumpangtidak ugal anjadisaya ngerasa aman klo pakai gorideterima kasih
sangat membantu dlm perjalanan,5,30,sangat membantu dlm perjalanan,4,sangat membantu dlm perjalanan,"['sangat', 'bantu', 'dlm', 'jalan']",sangat bantu dlm jalan
bintang 1 aja dulu ruwet kek co nya gk jelas,1,44,bintang aja dulu ruwet kek co nya gk jelas,9,bintang saja dulu ruwet kek co nya tidak jelas,"['bintang', 'dulu', 'ruwet', 'kek', 'co', 'nya', 'jelas']",bintang dulu ruwet kek co nya jelas
"bagaimana ya dengan aplikasi ini, apakah tidak tahu kebijakan playstore tentang notifikasi aplikasi, banyak sekali notifikasi yang tidak berguna muncul bahkan membuat ponsel menjadi lemot. kurangi notifikasi tidak jelas/berguna serta perbaiki layanan untuk mencari drivernya karena sering di cancel oleh driver",1,310,bagaimana ya dengan aplikasi ini apakah tidak tahu kebijakan playstore tentang notifikasi aplikasi banyak sekali notifikasi yang tidak berguna muncul bahkan membuat ponsel menjadi lemot kurangi notifikasi tidak jelasberguna serta perbaiki layanan untuk mencari drivernya karena sering di cancel oleh driver,41,bagaimana ya dengan aplikasi ini apakah tidak tahu kebijakan playstore tentang notifikasi aplikasi banyak sekali notifikasi yang tidak berguna muncul bahkan membuat ponsel menjadi lemot kurangi notifikasi tidak jelasberguna serta perbaiki layanan untuk mencari drivernya karena sering di cancel oleh driver,"['bagaimana', 'aplikasi', 'tahu', 'bijak', 'playstore', 'notifikasi', 'aplikasi', 'banyak', 'sekali', 'notifikasi', 'guna', 'muncul', 'bahkan', 'buat', 'ponsel', 'jadi', 'lot', 'kurang', 'notifikasi', 'jelasberguna', 'baik', 'layan', 'cari', 'drivernya', 'sering', 'cancel', 'driver']",bagaimana aplikasi tahu bijak playstore notifikasi aplikasi banyak sekali notifikasi guna muncul bahkan buat ponsel jadi lot kurang notifikasi jelasberguna baik layan cari drivernya sering cancel driver
"gajelas banget, posisi dirumah tapi di maps lokasi saat ini malah 15km dari lokasi saya berdiri, jadinya gak bisa ubah lokasi penjemputan",1,137,gajelas banget posisi dirumah tapi di maps lokasi saat ini malah km dari lokasi saya berdiri jadinya gak bisa ubah lokasi penjemputan,22,gajelas banget posisi dirumah tapi di maps lokasi saat ini malah km dari lokasi saya berdiri jadinya gak bisa ubah lokasi penjemputan,"['gajelas', 'banget', 'posisi', 'rumah', 'maps', 'lokasi', 'malah', 'km', 'lokasi', 'diri', 'jadi', 'gak', 'ubah', 'lokasi', 'jemput']",gajelas banget posisi rumah maps lokasi malah km lokasi diri jadi gak ubah lokasi jemput
"semuanya sebenarnya nyaman aja, maaf kalo diluar topik, tapi untuk sistem paylater. mau menanyakan apakah jika sudah tenggat waktu ada spam telepon? kalo ada saya sangat menyayangkan sekali di era sekarang serba waspada telepon tidak dikenal, itu sangat mengganggu. kedepannya mohon berikan info/invoice melalui yang lain seperti wa yang jelas, dsb. jujur jika benar, spam telepon itu sangat mengganggu.",4,403,semuanya sebenarnya nyaman aja maaf kalo diluar topik tapi untuk sistem paylater mau menanyakan apakah jika sudah tenggat waktu ada spam telepon kalo ada saya sangat menyayangkan sekali di era sekarang serba waspada telepon tidak dikenal itu sangat mengganggu kedepannya mohon berikan infoinvoice melalui yang lain seperti wa yang jelas dsb jujur jika benar spam telepon itu sangat mengganggu,59,semuanya sebenarnya nyaman saja maaf kalo diluar topik tapi untuk sistem paylater mau menanyakan apakah jika sudah tenggat waktu ada spam telepon kalo ada saya sangat menyayangkan sekali di era sekarang serba waspada telepon tidak dikenal itu sangat mengganggu kedepannya mohon berikan infoinvoice melalui yang lain seperti wa yang jelas dsb jujur jika benar spam telepon itu sangat mengganggu,"['semua', 'benar', 'nyaman', 'maaf', 'kalo', 'luar', 'topik', 'sistem', 'paylater', 'mau', 'tanya', 'tenggat', 'waktu', 'spam', 'telepon', 'kalo', 'sangat', 'sayang', 'sekali', 'era', 'sekarang', 'serba', 'waspada', 'telepon', 'kenal', 'sangat', 'ganggu', 'depan', 'mohon', 'ikan', 'infoinvoice', 'lalu', 'wa', 'jelas', 'jujur', 'benar', 'spam', 'telepon', 'sangat', 'ganggu']",semua benar nyaman maaf kalo luar topik sistem paylater mau tanya tenggat waktu spam telepon kalo sangat sayang sekali era sekarang serba waspada telepon kenal sangat ganggu depan mohon ikan infoinvoice lalu wa jelas jujur benar spam telepon sangat ganggu
gojek layanan nya lengkap ⭐⭐⭐⭐⭐,5,31,gojek layanan nya lengkap,4,gojek layanan nya lengkap,"['gojek', 'layan', 'nya', 'lengkap']",gojek layan nya lengkap
mau ngisi nomor telpon buat gosend aj ribet ajg segala geter geter,1,66,mau ngisi nomor telpon buat gosend aj ribet ajg segala geter geter,12,mau ngisi nomor telpon buat gosend aj ribet ajg segala geter geter,"['mau', 'ngisi', 'nomor', 'telpon', 'buat', 'gosend', 'aj', 'ribet', 'ajg', 'segala', 'geter', 'geter']",mau ngisi nomor telpon buat gosend aj ribet ajg segala geter geter
aku bolak balik di bekukan padahal ga ngapa ngapain jadi susah untuk naik ojol dll,1,82,aku bolak balik di bekukan padahal ga ngapa ngapain jadi susah untuk naik ojol dll,15,aku bolak balik di bekukan padahal tidak ngapa ngapain jadi susah untuk naik ojol dll,"['aku', 'bolak', 'balik', 'beku', 'padahal', 'ngapa', 'ngapain', 'jadi', 'susah', 'naik', 'ojol']",aku bolak balik beku padahal ngapa ngapain jadi susah naik ojol
walaupun sering eror tapi pelayanan nyaa baguss banget!!! selalu jadi langganan gojek!!,5,87,walaupun sering eror tapi pelayanan nyaa baguss banget selalu jadi langganan gojek,12,walaupun sering eror tapi pelayanan nyaa baguss banget selalu jadi langganan gojek,"['walaupun', 'sering', 'eror', 'layan', 'nyaa', 'baguss', 'banget', 'selalu', 'jadi', 'langgan', 'gojek']",walaupun sering eror layan nyaa baguss banget selalu jadi langgan gojek
promo ae gedhe. gawe driver e 0 g dipikir. isi ne untung tok coeg,1,65,promo ae gedhe gawe driver e g dipikir isi ne untung tok coeg,13,promo ae gedhe gawe driver e g dipikir isi ne untung tok coeg,"['promo', 'ae', 'gedhe', 'gawe', 'driver', 'e', 'g', 'pikir', 'isi', 'ne', 'untung', 'tok', 'coeg']",promo ae gedhe gawe driver e g pikir isi ne untung tok coeg
"loginnya terlalu berbelit"" masa 2x otp, pake nomor masih ok sedangkan yang pake email (ymail) gk dapat"" otp...",1,110,loginnya terlalu berbelit masa x otp pake nomor masih ok sedangkan yang pake email ymail gk dapat otp,18,loginnya terlalu berbelit masa x otp pake nomor masih baik sedangkan yang pake email ymail tidak dapat otp,"['loginnya', 'terlalu', 'belit', 'masa', 'x', 'otp', 'pake', 'nomor', 'baik', 'pake', 'email', 'ymail', 'otp']",loginnya terlalu belit masa x otp pake nomor baik pake email ymail otp
gojek terbaik pokonya,5,21,gojek terbaik pokonya,3,gojek terbaik pokonya,"['gojek', 'baik', 'poko']",gojek baik poko
bagus harganya selalu 9k tapi kalo naik gojek mobil usahain agak murah dikit ya min,5,83,bagus harganya selalu k tapi kalo naik gojek mobil usahain agak murah dikit ya min,15,bagus harganya selalu k tapi kalo naik gojek mobil usahain agak murah dikit ya min,"['bagus', 'harga', 'selalu', 'k', 'kalo', 'naik', 'gojek', 'mobil', 'usahain', 'murah', 'dikit', 'min']",bagus harga selalu k kalo naik gojek mobil usahain murah dikit min
