text,rating
oke sangat membantu,5
goodluck,5
"Saya menyaygkan keputusan sepihak terkait penghapusan voucher promo pada akun saya. Brdsrkn konfirmasi dari cs, tindakan pemblokiran ini dilakukan secara sengaja. Perlu dicatat bhw saya tdk perna melakukan pelanggaran apapun thd syarat&ketentuan yg berlaku. Tindakan pencabutan hak konsumen tanpa dasar hukum dan transparansi yg jelas spt ini berpotensi melanggar hak2 konsumen yang dilindungi undang-undang. Atas dasar apa dan intervensi regulasi mana yg memberikan wewenang kpd pihak anda utk melak",1
praktis di saat kritis,5
asik,5
ok,5
"Driver sangat berhati2 dalam membawa penumpang.Tidak ugal2 an.Jadi,saya ngerasa aman klo pakai Goride.Terima kasih",5
sangat membantu dlm perjalanan,5
bintang 1 aja dulu ruwet kek Co nya GK jelas,1
"bagaimana ya dengan aplikasi ini, apakah tidak tahu kebijakan playstore tentang notifikasi aplikasi, banyak sekali notifikasi yang tidak berguna muncul bahkan membuat ponsel menjadi lemot. Kurangi notifikasi tidak jelas/berguna serta perbaiki layanan untuk mencari drivernya karena sering di cancel oleh driver",1
"gajelas banget, posisi dirumah tapi di maps lokasi saat ini malah 15km dari lokasi saya berdiri, jadinya gak bisa ubah lokasi penjemputan",1
"semuanya sebenarnya nyaman aja, maaf kalo diluar topik, tapi untuk sistem paylater. mau menanyakan apakah jika sudah tenggat waktu ada spam telepon? kalo ada saya sangat menyayangkan sekali di era sekarang serba waspada telepon tidak dikenal, itu sangat mengganggu. kedepannya mohon berikan info/invoice melalui yang lain seperti wa yang jelas, dsb. jujur jika benar, spam telepon itu sangat mengganggu.",4
good lah,5
terbaik,5
Gojek layanan nya lengkap ⭐⭐⭐⭐⭐,5
mau ngisi nomor telpon buat gosend aj ribet ajg segala geter geter,1
aku bolak balik di bekukan padahal ga ngapa ngapain jadi susah untuk naik ojol dll,1
walaupun sering eror tapi pelayanan nyaa baguss banget!!! selalu jadi langganan gojek!!,5
promo ae gedhe. gawe driver e 0 g dipikir. isi ne untung tok coeg,1
Baik smua,5
aplikasi perbudakan...,1
ok,5
"loginnya terlalu berbelit"" masa 2x otp, pake nomor masih ok sedangkan yang pake email (ymail) gk dapat"" otp...",1
mantap aplikasinya,5
gojek terbaik pokonya,5
bagus,5
bagus harganya selalu 9k tapi kalo naik gojek mobil usahain agak murah dikit ya min,5
bagus,5
mantap,5
Mantab,5
"iklan paling caper, wong saya udah download apk nya dari lama, diklik silang gabisa"" malah bikin ngelag hp saya, maunya apasih? dah di download juga, gak saya gunain karna pertama kali nyoba pesen gojek pake promo, ga dapet"" drivernyaaaaa lamaaaa, bolak balik buka gofood juga promonya ga ada"" padahal pengguna baru lho, hihhh sebel saya",1
nyaman,5
banyak driver yang sangat ramah saya suka,5
Perbanyak lagi diskoun-nya yaa,5
sangat bagus,5
apl ini sangat bagus tidak mengecewakan,5
mantap Gasssspol. ngak kayak yg lain. ini Driver TOP. agak laen dari yang lain. Layanannya didasari dengan hati hingga penuh dedikasi. Terima kasih Mas Wintoro. Sukses. bertambah rejeki dan sehat selalu,5
BAIKK AKU SUKAA,5
sejauh ini pelayanan GOJEK & GOCAR sangat membantu dan memberikan pelayanan terbaik untuk masyarakat yang mau kemana² gak perlu cari ojek atau taksi yang jauh dari rumah sekarang tinggal buka aplikasi GOJEK langsung pesan apa yang Kita pilih,5
good job awesome,5
mayan,1
saya sangat bersyukur dengan adanya aplikasi gojek semua simple keren semangat beraktivitas mantap,5
ok,5
"saya sangat kecewa dengan cara gojek menagih, saya telat 3 hari, dan gojek sudah menyuruh debt collector untuk meneror saya. akun gopay later saya pun sudah lama di nonaktifkan, padahal selama ini saya bayar tepat waktu.",1
banyak banget dendanya. ga da pemberitahuan sblm jatuh tempo. nnt sdh lwt jatuh temponya (kena bunga) baru diinfokan. niat mau cari promo (dpt diskon bayar via paylater) yg diskonnya cmn 20rb tp saat lupa bayar bungannya 50rb 🤭 nyesal kejar promo pdhl saldo cukup aja. apes betul.,1
"Aneh banget beli token listrik 20k ajh di sangka transaksi yang mencurigakan terus langsung di blokir paylater nya lucu banget sumpah,katanya tunggu selama 7hari sekarang sudah 1bulan lebih tidak bisa di gunakan lucu banget kan,gopay makin aneh,lagi dan lagi gopay dengan keanehan nya",1
Sangat membantu dan byk voucer,5
error bezirrrr,1
semoga banyak promo promo spesial,5
"mantap aplikasi nya bagus tapi tolong ya kalo ada jalur yang lebih singkat pilih lewat situ aja karna setiap saya memesan untuk pulang ke rumah selalu melewati jalur yang jauh padahal sudah ada jalur yang lebih singkat masa setiap saya mesen selalu harus bilang ""lewat sini aja mas""",4
sudah lebih cepat,5
nyaman dan cepat Dateng drivernya,5
good,5
ok,5
good,5
ramah dan baik,5
good,3
gak bisa order apa2,1
oke bagus,4
bgus,5
good,5
